address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0xfed71021ae86c9da2e4508ac44fdf610f24886e0,1,0
0xef224f0a4fac6939841990248fffda665f95755c,1,0
0xf86a3c8be1f8a6162a77a2e151b3565a6aa49035,1,0
0xffe6a865440967ad098a14eff7007aee8a947f32,1,0
0xdf08aaa381631eb6463a014b9305c091c453525c,1,0
0xe80fa88d81ba203d90ce6ae732b2108dad0321c4,1,0
0xf75108bea8cf75db8d89ac3120e5244fbdd3009a,1,0
0xea75836b0bcd1f848de01cc8bdfb660f4ad345a5,1,0
0xf1d02ac5085d4c2103087d2e978da76a5e5cc5eb,1,0
0xfa566392477d8d842a0e9389029f05d090970b1a,1,0
0xfd49ed203885f0f8a60d4fe6db99efc9e790d7f6,1,0
0xfd70d7c0be7c85c37dc2ed7957c599457789c000,1,0
0xe8832fed6e792eaab3e191e1a08d54d6d5482d89,1,0
0xe4d405dfba629d40673066eb139c63f385c91bad,1,0
0xfa8dd04ea8d21e70c53b53f4bd9f78cb0ba9f118,1,0
0xfe36dbab33e154d8fc2957ee6e43088f7999eea3,1,0
0xff1963c09c9e5b927fb416ed966e9a188d760282,1,0
0xe3cc107321ab70cbd43cb2da37ea4e46755c43cb,1,0
0xe1b3795d65bc57c5b65819ea23a04b3dd70f4491,1,0
0xf03996fbe4f14695b93f27c769e5291a682ee298,1,0
0xf4a0260bca9faedaa70bdac4262c6d563c94c48d,1,0
0xea75c4d702e737d030387fa9d0d84e7a307e604d,1,0
0xeab804590011d0650fcb6c4da1870c6e9ca062d1,1,0
0xf85f7230d69553c3aab5d35d4523659bc59d35be,1,0
0xfd98e630ad235a55f2f5b6e53f7229e1fefa82f0,1,0
0xfae23a9f1fe702dd9ff0d95f58dc1d3dbdcdcb52,1,0
0xef45244f462cc384cce89fded30f95fec587cf7d,1,0
0xf4a40f5ed0941e42b7c79b99cdff5bc4d329d1bd,1,0
0xe8ced5c467f880837c7fa3f2f05cb99403e6ccee,1,0
0xfa376d0628449ac8c5fa50d9dce8c2acbdd53fcc,1,0
0xe7132cf69bfcc561514da2dd9a5f7af60f0e5a62,1,0
0xf00d7d44932fe8bf93994534d29fcadbd9539d21,1,0
0xdf6919547bea0be823a07d9df794cb628475bcb7,1,0
0xeecc5f5c0704c516dbb832d18b988a11e364637b,1,0
0xdeaa0d43bc56bba56758b10972418b3ab5556ae7,1,0
0xf35b50dd5db410f61d5902d8599df5d64cbff73d,1,0
0xf7f262b062b2fc055f6db1a2636fce506d6558b4,1,0
0xf990ce93c674e610939789f4ec24a9c08ad8c042,1,0
0xe46cd302b163cf6e03c4bf1ae2059c65f97987de,1,0
0xe684f1f3116e82790d8461b8b5e037ab0e6a1856,1,0
0xeccbacefbdde4973a9589ee3b5a8149e525016a3,1,0
0xf010128e081f242e463efdd60d217991908baf2d,1,0
0xf75729dca43e96dc38f519d1dbefb950ae95a507,1,0
0xf129ebb070eaaca17b7399b3a83ad34aefd0e3d2,1,0
0xe3ee32c25b47d2582b2b7381fb97f1ac8ebe5c59,1,0
0xfe70187b9bfbc1ea51c816d7606a879bca999770,1,0
0xff1a1aa3f81986ce934f42be48488a6fddb38874,1,0
0xe9a10c89ff2d1529d84d34365f7b1c4ae5ef6f50,1,0
0xee119ab8ca22f2b9b3e7f508739f3ae68c838a94,1,0
0xe64457d315ae942259fc62e51f3768fb3ab3ad75,1,0
0xff50e30630d34ff0bb0a5ace3527ac9a36f25371,1,0
0xe7573e4009e029ceacbd760a552a43b9c7b1519e,1,0
0xfcf7b861b033a88fd9a843db79ff5e5ff8b719c8,1,0
0xf36ccab924910bfceddce38377ca9e764b86c272,1,0
