Wallet address,Custom mint limit (optional),Custom price in native token e.g. ETH (optional)
0x71e78c7197eee4ab2a5c940477383b89bfb7c5bd,1,0
0x55078d42c77873910228b3d2f83ced132606def8,1,0
0x970796871806ed99e96a4a19e7ce0e1cc01e7a30,1,0
0x9997df27ccaf065190b4695a50cd1832839b4538,1,0
0x52095487ddec0150a7f7ac8ed96c9b6f3dd59033,1,0
0xcbac7e254d2e026e52183322e1b8882aab4bf9a0,1,0
0xd827d4b8f660db6edd4cf7fdd3365765a6fe5557,1,0
0x17424ccccae665fa85c3d424540e9fa87a5af3a5,1,0
0xd36a5a7b60edba5b0201e4996e088d04781abab2,1,0
0x39afe2176de832be2a5164e5fc91e27d1355c88d,1,0
0x3cf282cd2df98d8589598fde938eecd1dac9671f,1,0
0x33ba9f262511ad80df5e88e1ba94b0601a47e356,1,0
0x2532a281ab4dc38d5202418142d1daa8877c3a82,1,0
0xf70107f232d1d0ec2ef78cf938b7961655429df7,1,0
0xa68176387a8a58814b780529df1d164d0904c9ec,1,0
0x274dea9e5746f0d57781f64777e3a3d73624ad5a,1,0
0x8f572e8ba359e3f36e25a738e77a2183ba499278,1,0
0x7f695e8177939bebd28467e9d1050a6abe46c8a0,1,0
0xb7d7d4034df7b33f41a59307b91f6cc5fd6f6d17,1,0
0x90622115e7e01ec64c9901b7bac13933dcc547dd,1,0
0xc960517dee7a3fc8b1f28481fd82756023d3470d,1,0
0xf02a4b241427de98f71098c76e6d43111e4c6e86,1,0
0x0db63fec90c224511ed9b0c5f12bc7f2a15192f5,1,0
0x702c99051255ff9c621eddf5a752afef2f1ac14c,1,0
0x5ebe53bb18750b436188c714278d63321663f968,1,0
0x949cc1db823aa4923e035cb49549dc983c0086fb,1,0
0x0884a36c40adfd036eae8b1dae96a1d4f94306bc,1,0
0xf4701ed9f4d7abf6d9660508574e220696f0494b,1,0
0x9677b30ea760d93c7e114a5a5946783a9a93b281,1,0
0x8d608cb9ff9c834bd95480138d5a69c2242aad65,1,0
0x91dd8b49d4d6a1198d62e7042342d1164018f534,1,0
0xc65aa07a7134b08a558cbc29aba93cebdfb02a33,1,0
0x809f5eff8cd81944220f02e12ba4543cb01b54ee,1,0
0x6cbf721f608524ed7ebe2fce0ea8b8dad2baac9c,1,0
0xd4bc689aca0a4a0a80f6c144f0030378c2652621,1,0
0xa409674ec64085b579203e5f21e078f7d6ab7dd7,1,0
0x06f3709d4f09af0ce2d700ecf46b53deae789c25,1,0
0x2326b1f98aad6e48054c8b69a6f91fac35c7fcfd,1,0
0x54f893ace7b7a73bf577a5513b6c3f24e7a17322,1,0
0xf85f7230d69553c3aab5d35d4523659bc59d35be,1,0
0x899dd432258ad84d538051b20061c237f838699e,1,0
0x15f574a8e55add7f636ca4550140141a9d6ce42b,1,0
0x69155e7ca2e688ccdc247f6c4ddf374b3ae77bd6,1,0
0x10a239ee8455b3d631c19d862c7e18b7259436dc,1,0
0xc6337d081a59897bae82851d22d9560b3de3a845,1,0
0xcc97270c584747726b629198454fb64e09ed0940,1,0
